,Missing From Merge
0,NM_000029
1,NM_000060
2,NM_001001709
3,NM_001001791
4,NM_001001891
5,NM_001002265
6,NM_001004306
7,NM_001004326
8,NM_001004330
9,NM_001007023
10,NM_001007249
11,NM_001008494
12,NM_001008737
13,NM_001010845
14,NM_001010896
15,NM_001010911
16,NM_001012706
17,NM_001012715
18,NM_001013692
19,NM_001014830
20,NM_001017986
21,NM_001024452
22,NM_001024603
23,NM_001025232
24,NM_001025233
25,NM_001029887
26,NM_001029964
27,NM_001031693
28,NM_001033019
29,NM_001037498
30,NM_001037533
31,NM_001039380
32,NM_001039517
33,NM_001039783
34,NM_001039905
35,NM_001040071
36,NM_001040282
37,NM_001040655
38,NM_001045479
39,NM_001045480
40,NM_001077685
41,NM_001077686
42,NM_001080398
43,NM_001080400
44,NM_001080427
45,NM_001080473
46,NM_001080484
47,NM_001080519
48,NM_001080542
49,NM_001080835
50,NM_001085398
51,NM_001093728
52,NM_001097616
53,NM_001098805
54,NM_001098808
55,NM_001098843
56,NM_001099435
57,NM_001100111
58,NM_001100879
59,NM_001101337
60,NM_001101341
61,NM_001101401
62,NM_001102658
63,NM_001104548
64,NM_001105572
65,NM_001113382
66,NM_001113434
67,NM_001123040
68,NM_001123228
69,NM_001124756
70,NM_001127464
71,NM_001129907
72,NM_001130002
73,NM_001134233
74,NM_001135086
75,NM_001135704
76,NM_001135914
77,NM_001136533
78,NM_001142964
79,NM_001145029
80,NM_001145045
81,NM_001145063
82,NM_001145121
83,NM_001145248
84,NM_001145249
85,NM_001145531
86,NM_001145553
87,NM_001146181
88,NM_001161808
89,NM_001164315
90,NM_001166478
91,NM_001170726
92,NM_001170944
93,NM_001173487
94,NM_001177611
95,NM_001214
96,NM_001373
97,NM_001630
98,NM_001703
99,NM_002284
100,NM_002702
101,NM_002770
102,NM_003220
103,NM_003585
104,NM_003649
105,NM_003926
106,NM_003951
107,NM_004080
108,NM_004610
109,NM_004651
110,NM_004709
111,NM_004745
112,NM_005311
113,NM_005501
114,NM_005719
115,NM_005750
116,NM_005867
117,NM_006193
118,NM_006211
119,NM_006250
120,NM_006365
121,NM_006542
122,NM_007105
123,NM_007354
124,NM_012159
125,NM_013310
126,NM_014577
127,NM_014731
128,NM_015048
129,NM_015053
130,NM_015455
131,NM_015549
132,NM_015594
133,NM_015652
134,NM_015831
135,NM_016381
136,NM_016591
137,NM_016601
138,NM_016936
139,NM_017418
140,NM_017424
141,NM_017639
142,NM_018172
143,NM_018186
144,NM_018280
145,NM_018293
146,NM_019607
147,NM_020218
148,NM_020452
149,NM_020731
150,NM_020732
151,NM_020794
152,NM_021731
153,NM_022062
154,NM_022357
155,NM_022375
156,NM_022574
157,NM_024688
158,NM_024784
159,NM_024866
160,NM_024886
161,NM_025031
162,NM_025041
163,NM_025090
164,NM_030980
165,NM_031271
166,NM_031413
167,NM_031914
168,NM_031953
169,NM_032021
170,NM_032374
171,NM_032560
172,NM_032937
173,NM_033104
174,NM_033341
175,NM_052952
176,NM_080592
177,NM_080653
178,NM_133489
179,NM_138320
180,NM_138464
181,NM_138568
182,NM_139019
183,NM_144625
184,NM_144663
185,NM_144993
186,NM_145013
187,NM_145036
188,NM_145170
189,NM_145274
190,NM_145664
191,NM_145665
192,NM_152392
193,NM_152399
194,NM_152554
195,NM_152569
196,NM_152666
197,NM_153027
198,NM_153038
199,NM_153040
200,NM_153244
201,NM_153246
202,NM_173499
203,NM_173541
204,NM_173644
205,NM_173667
206,NM_173681
207,NM_173687
208,NM_173688
209,NM_173695
210,NM_174943
211,NM_175895
212,NM_175918
213,NM_178504
214,NM_178520
215,NM_178824
216,NM_178829
217,NM_178831
218,NM_181597
219,NM_182482
220,NM_182560
221,NM_182626
222,NM_182702
223,NM_182832
224,NM_183242
225,NM_183378
226,NM_198455
227,NM_198482
228,NM_199183
229,NM_199451
230,NM_203425
231,NM_207313
232,NM_207379
233,NM_207401
234,NM_207412
235,NM_207440
236,NM_207444
237,NM_207445
238,NM_207454
239,NM_214461
