22 17072483 {'mHuman': [0.1295926517571885, 0.8704073482428115, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 17264565 {'mHuman': [0.3518370607028754, 0.6481629392971247, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 17265124 {'mHuman': [0.3055111821086262, 0.6944888178913738, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 17443238 {'mHuman': [0.4524760383386581, 0.5475239616613419, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 17565932 {'mHuman': [0.2250399361022364, 0.7749600638977636, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 17565974 {'mHuman': [0.22523961661341854, 0.7747603833865815, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 17591089 {'mHuman': [0.2689696485623003, 0.7310303514376997, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 17591144 {'mHuman': [0.4602635782747604, 0.5397364217252396, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [0.5, 0.5, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 17596178 {'mHuman': [0.3813897763578275, 0.6186102236421726, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 18209613 {'mHuman': [0.3340654952076677, 0.6659345047923323, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 18213057 {'mHuman': [0.46285942492012777, 0.5371405750798722, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
